date,value
2020-01-01,0.4967141530112327
2020-01-02,0.25376103675583833
2020-01-03,1.429592677200406
2020-01-04,2.6905319446409335
2020-01-05,1.3125558686725856
2020-01-06,1.683315092177144
2020-01-07,3.8569179578820028
2020-01-08,3.3929376132146367
2020-01-09,2.4894761646587074
2020-01-10,3.818795165199311
2020-01-11,3.112217909756592
2020-01-12,3.389803069756603
2020-01-13,4.356380928604164
2020-01-14,2.4376243621158644
2020-01-15,2.8388118785228147
2020-01-16,4.189480193897236
2020-01-17,3.9012024032415713
2020-01-18,5.363936061473778
2020-01-19,4.25002238948749
2020-01-20,3.8262715767971525
2020-01-21,6.756550929412586
2020-01-22,5.0890383736625235
2020-01-23,5.377790365213776
2020-01-24,3.8526078426104617
2020-01-25,4.671986397187059
2020-01-26,5.2386567515858
2020-01-27,3.8610477108546304
2020-01-28,5.245732714498921
2020-01-29,4.101969709968346
2020-01-30,4.219107393073471
2020-01-31,3.694083871092638
2020-02-01,5.911164274317096
2020-02-02,3.788025059770617
2020-02-03,2.467538947857337
2020-02-04,4.054272245771595
2020-02-05,1.7018676869985532
2020-02-06,2.8089103767652603
2020-02-07,0.3059861483041246
2020-02-08,0.5933431260910513
2020-02-09,1.7665715287932369
2020-02-10,
2020-02-11,1.0227517435671172
2020-02-12,0.37348805782680217
2020-02-13,-0.17340886910483727
2020-02-14,-1.7093196854966441
2020-02-15,-1.3040588396446569
2020-02-16,-1.3910970576909494
2020-02-17,-0.2103495818225809
2020-02-18,-1.2496326045473112
2020-02-19,-3.6688953633572536
2020-02-20,-1.879335454884243
2020-02-21,-2.869246129918783
2020-02-22,-3.4233265552549423
2020-02-23,-2.3768866753882945
2020-02-24,-2.178175318527938
2020-02-25,-2.475618506708278
2020-02-26,-4.419740597425685
2020-02-27,-4.038186528975425
2020-02-28,-3.5200577246297087
2020-02-29,-2.9712368747819613
2020-03-01,-4.49390192592291
2020-03-02,-4.240344848197598
2020-03-03,-5.172678532220444
2020-03-04,-5.2457555091581325
2020-03-05,-3.1917861623466797
2020-03-06,-2.5745648992209995
2020-03-07,-3.901370864670097
2020-03-08,-2.696938623749488
2020-03-09,-3.1831495897962623
2020-03-10,-4.008223697651236
2020-03-11,-2.7949798299407864
2020-03-12,-1.3876550608399962
2020-03-13,-2.708106484292493
2020-03-14,-0.832855559851738
2020-03-15,-4.722572041411331
2020-03-16,-0.9679533555300198
2020-03-17,-1.3732353505285837
2020-03-18,-1.4149049265341014
2020-03-19,-0.6668158472699713
2020-03-20,-2.377837421292222
2020-03-21,
2020-03-22,0.7283246861187143
2020-03-23,2.2381140943346107
2020-03-24,0.6336395040502605
2020-03-25,0.7356429042870304
2020-03-26,1.4329956768698553
2020-03-27,3.2370219660518234
2020-03-28,3.031371832430139
2020-03-29,2.5459113718109307
2020-03-30,3.952001335795762
2020-03-31,
2020-04-01,5.095679588664606
2020-04-02,3.7464719588373345
2020-04-03,4.424890346503141
2020-04-04,4.645363252081237
2020-04-05,3.8382301226923143
2020-04-06,5.840074594041452
2020-04-07,6.023860868332496
2020-04-08,5.962251807825502
2020-04-09,5.891344489593884
2020-04-10,4.852939121338232
2020-04-11,5.96290259753117
2020-04-12,6.128360649705651
2020-04-13,5.728201478110098
